Redes WiFi encontradas:
0: MiFibra-D160 (-51 dBm)
1: MOVISTAR_1077 (-54 dBm)
2: MiFibra-F190 (-56 dBm)
3: SercommFF08 (-61 dBm)
4: MiFibra-46AA (-64 dBm)
5: wifi2 (-68 dBm)
6: DIGIFIBRA-d223 (-68 dBm)
7: MOVISTAR_65E0 (-69 dBm)
8: MiFibra-9CF8 (-70 dBm)
9: PROSEGUR_CAM_fc5f49e78d6e (-70 dBm)
10: sercommBA1424 (-73 dBm)
11: Livebox6-9E2D (-74 dBm)
12: DIGIFIBRA-pNkH (-74 dBm)
13: MOVISTAR-WIFI6-0B80 (-75 dBm)
14: halo (-75 dBm)
51:  (1007429576 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: MiFibra-F190 (-52 dBm)
2: MOVISTAR_1077 (-56 dBm)
3: MiFibra-46AA (-60 dBm)
4: wifi2 (-64 dBm)
5: PROSEGUR_CAM_fc5f49e78d6e (-65 dBm)
6: SercommFF08 (-65 dBm)
7: MOVISTAR_65E0 (-71 dBm)
8: DIGIFIBRA-d223 (-71 dBm)
9: PROSEGUR_CAM_fc5f49e78d6b (-73 dBm)
10: DIRECT-Ii-BRAVIA (-74 dBm)
11: MOVISTAR_EC10 (-74 dBm)
12: Livebox6-9E2D (-75 dBm)
13: MiFibra-9CF8 (-75 dBm)
14: El_Nueve_Apartamento (-76 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-53 dBm)
1: MOVISTAR_1077 (-55 dBm)
2: MiFibra-F190 (-56 dBm)
3: MiFibra-46AA (-60 dBm)
4: SercommFF08 (-63 dBm)
5: DIGIFIBRA-d223 (-68 dBm)
6: MiFibra-9CF8 (-69 dBm)
7: El_Nueve_Apartamento (-69 dBm)
8: wifi2 (-71 dBm)
9: vodafoneA068 (-72 dBm)
10: PROSEGUR_CAM_fc5f49e78d6b (-73 dBm)
11: PROSEGUR_CAM_fc5f49e78d6e (-74 dBm)
12: Livebox6-9E2D (-75 dBm)
13: MOVISTAR-WIFI6-0B80 (-76 dBm)
14: MOVISTAR-WIFI6-9B88 (-76 dBm)
51:  (1007429576 dBm)
Redes WiFi encontradas:
0: MiFibra-D160 (-52 dBm)
1: MiFibra-46AA (-56 dBm)
2: MOVISTAR_1077 (-60 dBm)
3: MiFibra-F190 (-60 dBm)
4: PROSEGUR_CAM_fc5f49e78d6e (-67 dBm)
5: MiFibra-9CF8 (-69 dBm)
