iter	Passed	Remaining
0	48	24215
1	95	23836
2	131	21782
3	174	21625
4	221	21944
5	260	21435
6	317	22355
7	367	22611
8	436	23818
9	502	24610
10	566	25200
11	623	25358
12	710	26612
13	775	26914
14	838	27124
15	894	27069
16	962	27338
17	1041	27881
18	1123	28440
19	1186	28480
20	1265	28868
21	1324	28778
22	1395	28934
23	1501	29784
24	1572	29886
25	1674	30529
26	1757	30790
27	1815	30611
28	1866	30316
29	1924	30145
30	1971	29823
31	2031	29708
32	2078	29418
33	2119	29053
34	2171	28856
35	2223	28653
36	2268	28381
37	2306	28039
38	2341	27680
39	2372	27286
40	2408	26962
41	2445	26663
42	2475	26312
43	2506	25978
44	2536	25647
45	2567	25342
46	2595	25012
47	2625	24721
48	2656	24454
49	2684	24157
50	2709	23851
51	2733	23548
52	2754	23229
53	2778	22949
54	2803	22679
55	2832	22459
56	2856	22199
57	2886	21993
58	2915	21793
59	2941	21568
60	2968	21360
61	3000	21198
62	3034	21050
63	3057	20828
64	3078	20599
65	3101	20393
66	3119	20158
67	3138	19940
68	3155	19708
69	3173	19491
70	3192	19292
71	3202	19035
72	3210	18781
73	3227	18578
74	3244	18385
75	3261	18195
76	3278	18011
77	3296	17837
78	3312	17654
79	3335	17510
80	3354	17351
81	3373	17196
82	3394	17053
83	3415	16916
84	3447	16831
85	3475	16729
86	3506	16644
87	3537	16559
88	3573	16500
89	3599	16397
90	3629	16312
91	3654	16205
92	3684	16123
93	3720	16067
94	3752	15999
95	3775	15886
96	3797	15777
97	3827	15700
98	3848	15587
99	3868	15474
100	3900	15408
101	3919	15291
102	3940	15188
103	3964	15094
104	3983	14986
105	4008	14897
106	4030	14802
107	4049	14697
108	4069	14599
109	4090	14503
110	4097	14359
111	4115	14257
112	4133	14157
113	4153	14062
114	4173	13972
115	4193	13882
116	4211	13785
117	4236	13714
118	4256	13626
119	4277	13545
120	4297	13459
121	4315	13372
122	4340	13303
123	4360	13221
124	4383	13149
125	4402	13066
126	4424	12994
127	4433	12884
128	4452	12805
129	4470	12724
130	4490	12649
131	4509	12571
132	4529	12498
133	4549	12427
134	4572	12363
135	4592	12291
136	4611	12219
137	4632	12151
138	4652	12082
139	4669	12008
140	4680	11916
141	4699	11847
142	4720	11785
143	4740	11718
144	4759	11653
145	4781	11594
146	4806	11541
